epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,45270.4,0.50316,1.12304,0.85819,0.70424,0.7004,0.68719,0.61399,0.46487,0.95378,0.74961,8.3566e-05,8.3566e-05,8.3566e-05
85,45373.9,0.49977,1.02841,0.85761,0.76061,0.68602,0.71046,0.6269,0.46981,0.93322,0.75608,8.3368e-05,8.3368e-05,8.3368e-05
86,45476.8,0.51372,1.05815,0.85665,0.704,0.72451,0.72258,0.63835,0.47949,0.91891,0.75968,8.317e-05,8.317e-05,8.317e-05
87,45580.2,0.51779,1.02804,0.85242,0.65065,0.71759,0.68379,0.61765,0.4667,0.92116,0.74827,8.2972e-05,8.2972e-05,8.2972e-05
88,45685.3,0.51008,1.03505,0.86296,0.69255,0.71622,0.72619,0.63893,0.45309,0.89931,0.76263,8.2774e-05,8.2774e-05,8.2774e-05
89,45789.3,0.50899,1.04576,0.85703,0.64384,0.73357,0.71031,0.63931,0.45191,0.87811,0.76029,8.2576e-05,8.2576e-05,8.2576e-05
90,45893.5,0.52165,1.07692,0.8554,0.67329,0.73948,0.70596,0.62899,0.45883,0.95037,0.74564,8.2378e-05,8.2378e-05,8.2378e-05
91,45998.3,0.50137,0.95892,0.86292,0.7697,0.67453,0.71411,0.62864,0.44097,1.06076,0.73909,8.218e-05,8.218e-05,8.218e-05
92,46101.9,0.49594,1.05758,0.8623,0.66038,0.70775,0.70053,0.63156,0.44695,0.95498,0.74115,8.1982e-05,8.1982e-05,8.1982e-05
93,46214.3,0.51447,1.03122,0.86615,0.66532,0.7655,0.71987,0.63268,0.47695,0.90546,0.75289,8.1784e-05,8.1784e-05,8.1784e-05
94,46321.1,0.50282,1.02952,0.8661,0.69328,0.7425,0.71133,0.63304,0.48414,0.89993,0.76451,8.1586e-05,8.1586e-05,8.1586e-05
95,46428.1,0.5001,0.97172,0.8593,0.72125,0.70372,0.71145,0.63679,0.47254,0.87126,0.76142,8.1388e-05,8.1388e-05,8.1388e-05
96,46534.6,0.52824,1.06739,0.882,0.71481,0.69882,0.72888,0.63506,0.47554,0.91135,0.76264,8.119e-05,8.119e-05,8.119e-05
97,46637.8,0.47498,0.93917,0.84771,0.66355,0.73665,0.72207,0.64071,0.4417,0.89393,0.75123,8.0992e-05,8.0992e-05,8.0992e-05
98,46745,0.48713,0.98114,0.85148,0.68853,0.75148,0.71559,0.63422,0.4441,0.89754,0.75068,8.0794e-05,8.0794e-05,8.0794e-05
99,46846.1,0.48494,0.96891,0.86129,0.6844,0.74823,0.74074,0.64552,0.45153,0.84809,0.75142,8.0596e-05,8.0596e-05,8.0596e-05
100,46948.6,0.49393,0.89182,0.84935,0.72594,0.71047,0.73733,0.64142,0.44953,0.83524,0.75244,8.0398e-05,8.0398e-05,8.0398e-05
101,47055.5,0.51227,0.96063,0.86077,0.67045,0.72443,0.73788,0.64542,0.45034,0.8565,0.75091,8.02e-05,8.02e-05,8.02e-05
102,47159.7,0.49448,0.96677,0.86426,0.66007,0.78357,0.72511,0.64738,0.45655,0.84904,0.75174,8.0002e-05,8.0002e-05,8.0002e-05
103,47266.7,0.47762,0.94183,0.85396,0.74283,0.6969,0.72864,0.64553,0.43368,0.89007,0.74335,7.9804e-05,7.9804e-05,7.9804e-05
104,47373.7,0.51011,0.9958,0.85442,0.772,0.71322,0.75236,0.65898,0.4432,0.8612,0.74672,7.9606e-05,7.9606e-05,7.9606e-05
105,47475.5,0.50992,0.95391,0.86532,0.74161,0.71617,0.73899,0.66042,0.45396,0.84157,0.75805,7.9408e-05,7.9408e-05,7.9408e-05
106,47577.7,0.48509,0.94019,0.86349,0.68021,0.71715,0.71481,0.63295,0.44402,0.94397,0.75195,7.921e-05,7.921e-05,7.921e-05
107,47679.6,0.47604,0.93307,0.85446,0.71983,0.73418,0.75213,0.64982,0.4485,0.91511,0.75242,7.9012e-05,7.9012e-05,7.9012e-05
108,47784.9,0.49397,0.9402,0.84918,0.72896,0.70628,0.74489,0.65416,0.43766,0.95149,0.74127,7.8814e-05,7.8814e-05,7.8814e-05
